domain,count
com.apple.appstored,9
hk.com.hsbc.hsbchkmobilebanking,2
-2025-06-11-195328.ips,2
-2025-06-12-183805.ips,1
com.apple.webkit.webcontent.captiveportal.cpu,1
jetsamevent-2025-06-12-180633.ips,1
-2025-06-09-170156.ips,1
duetexpertd.cpu,1
-2025-06-10-120046.ips,1
xyz.be.customer,1
com.paygo24.ababank,1
com.apple.mobilecal,1
com.bybit.app,1
com.apple.journal,1
com.google.ios.youtube,1
com.google.maps,1
com.apple.reminders,1
com.czzhao.binance,1
com.hp.printer.control,1
dasdelegateservice.cpu,1
